Nombre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Total,Total2,Absorcion,Total Acumulado,Absorcion Acumulada,Clasificacion
SERVICIOS DE TERCEROS,5187831.3100000005,5245206.49,4758888.9,5251645.64,5769547.19,5379041.33,31592160.86,,60.284715947561615,31592160.86,60.284715947561615,A
ASESORIA DIRECTIVA Y LOGISTICA,2967283.86,769008.0,769008.0,901184.0,1393112.82,901184.0,7700780.68,,14.694764879348948,39292941.54,74.97948082691057,A
INTERESES NORMALES PRESTAMOS,540803.82,437890.95,437559.0,286858.5,555152.5,334078.85,2592343.62,,4.946755603794227,41885285.16,79.92623643070479,A
CUOTAS Y SUSCRIPCIONES,43726.28,52220.22,49328.55,634648.01,52119.56,1217147.37,2049189.9900000002,,3.910300312067247,43934475.15,83.83653674277204,B
HONORARIOS CONSULTORIAS Y ASESORIA TECNICA,226100.0,179575.0,226100.0,339150.0,340850.0,269325.0,1581100.0,,3.017082775916509,45515575.15,86.85361951868855,B
ARRENDAMIENTOS PERSONAS MORALES,171191.97,126522.81,218778.8,176546.45,134908.03,220207.21,1048155.27,,2.00010828638487,46563730.42,88.85372780507342,B
COMBUSTIBLES Y LUBRICANTES,268647.57,146996.87,199518.91999999998,197022.4,134272.57,69615.77,1016074.1000000001,,1.9388904346118958,47579804.52,90.79261823968532,B
MANTENIMIENTO EQUIPO DE TRANSPORTE,132852.4,81032.24,73125.52,120851.63,49265.68,90753.20999999999,547880.68,,1.0454755315194642,48127685.2,91.83809377120478,B
COMISIONES COMERCIALES,48990.35,91757.93,38255.72,171084.83,22149.93,0.0,372238.75999999995,,0.7103125364142173,48499923.96,92.548406307619,B
SERVICIOS ADMINISTRATIVOS (LITERIN),169149.74,169149.74,0.0,,,,338299.48,,0.6455490065204678,48838223.44,93.19395531413946,B
HONORARIOS CONTABLES Y FISCALES,21000.0,96000.0,21000.0,22260.0,22260.0,130520.0,313040.0,,0.5973484233589931,49151263.44,93.79130373749845,B
SERVICIO DE ADMINISTRACION Y ASESORIA,87865.32,89266.66,54260.94,25897.83,21435.47,21579.53,300305.75,,0.5730487039616021,49451569.19,94.36435244146006,B
ESTUDIOS MEDICOS,33040.3,26662.02,71974.11,73765.78,23610.0,61115.0,290167.20999999996,,0.5537021639534175,49741736.4,94.91805460541349,B
COMISIONES BANCARIAS,8979.0,211821.0,11482.0,9765.5,11648.0,10510.5,264206.0,,0.5041625272872033,50005942.4,95.42221713270068,C
COMISIONES OPERATIVAS,0.0,0.0,0.0,129302.96,97690.02,0.0,226992.98,,0.43315198925555665,50232935.379999995,95.85536912195623,C
PUBLICIDAD,37000.0,37000.0,37000.0,37000.0,38500.0,37000.0,223500.0,,0.42648662350094224,50456435.379999995,96.28185574545718,C
EQUIPO DE TRANSPORTE,30814.43,30814.43,30814.43,30814.43,30814.43,30814.0,184886.15,,0.35280299707198537,50641321.529999994,96.63465874252915,C
EQUIPO DE COMUNICACIÓN,20101.25,19707.78,25896.95,20410.87,20705.93,20836.0,127658.78,,0.24360072502214591,50768980.309999995,96.8782594675513,C
EQUIPO DE COMPUTO,16200.78,16200.78,16840.9,16840.9,27869.24,29828.0,123780.60000000002,,0.23620031386541715,50892760.91,97.11445978141673,C
SERVICIOS DE LIMPIEZA,14054.01,14054.01,14054.01,15551.75,15551.75,30931.75,104197.28,,0.1988310788598759,50996958.19,97.3132908602766,C
TELEFONIA CELULAR,36541.35,17393.18,14358.630000000001,14186.21,8909.21,3083.62,94472.19999999998,,0.18027351048190474,51091430.39,97.4935643707585,C
"COPIAS, FAX E INTERNET EXTERNO",13520.2,14543.2,14130.4,14603.6,14987.6,14832.4,86617.4,,0.16528484323235126,51178047.79,97.65884921399086,C
PAPELERIA Y ARTICULOS OFICINA,12360.69,14688.69,20746.01,11871.01,23641.4,1779.44,85087.24,,0.16236496505867704,51263135.03,97.82121417904955,C
FIANZAS,26770.95,26770.95,26770.95,,,1635.8,81948.65000000001,,0.15637585252331318,51345083.68,97.97759003157284,C
MANTENIMIENTO Y REPARACION OFICINAS,33002.86,10326.39,1918.55,5946.13,27710.05,1683.55,80587.53,,0.15377853944510464,51425671.21,98.13136857101796,C
HONORARIOS LABORALES,47500.0,4000.0,4000.0,4000.0,4000.0,10671.5,74171.5,,0.141535358366891,51499842.71,98.27290392938485,C
ARRENDAMIENTOS PERSONAS FISICAS,12000.42,12000.42,12000.42,12000.42,12000.42,12000.42,72002.52,,0.1373964726548504,51571845.230000004,98.41030040203971,C
HONORARIOS LEGALES,13342.66,7500.0,15891.7,17220.29,5500.0,11000.0,70454.65,,0.13444279994828034,51642299.88,98.54474320198798,C
MANTENIMIENTO Y REPARACION EQUIPO COMUNICACION,1500.0,1500.0,1500.0,59359.22,1495.0,0.0,65354.22,,0.12471006988518007,51707654.1,98.66945327187317,C
EVENTOS ESPECIALES,2262.04,12212.44,11480.56,3186.92,21854.8,10108.98,61105.73999999999,,0.11660304576790363,51768759.84,98.78605631764107,C
EVENTOS DE PROMOCION,0.0,0.0,0.0,15075.0,15075.0,28006.03,58156.03,,0.11097435736429308,51826915.870000005,98.89703067500537,C
